"streams_mill","released_month","mode","key","bpm","danceability","energy","liveness"
61.105704,4,"Minor","G",120,80,70,9
198.275403,12,"Minor","D#",139,70,48,12
168.448603,3,"Minor","",132,59,82,12
705.469769,3,"Major","A#",114,32,74,17
34.502215,5,"Minor","B",145,54,48,37
482.17524,9,"Major","",110,82,69,18
304.1186,12,"Major","G#",94,89,66,36
1449.799467,3,"Major","C#",134,45,60,33
173.627354,3,"Major","G",120,62,76,39
90.025258,2,"Minor","G",123,70,68,11
652.704649,12,"Major","A#",131,77,71,15
1829.992958,1,"Major","D",171,70,73,36
655.466831,5,"Minor","E",130,80,76,20
146.409671,3,"Major","B",94,82,67,9
95.816024,4,"Minor","G",89,73,57,32
117.206995,3,"Minor","F",87,65,56,15
100.409613,3,"Minor","B",124,72,78,15
80.75835,3,"Major","G#",78,71,65,22
325.592432,11,"Major","G#",120,70,79,18
58.473276,3,"Minor","F#",96,48,80,37
52.722996,3,"Major","G",106,73,86,12
191.945597,12,"Minor","D",170,78,46,12
77.377503,3,"Minor","B",134,67,76,30
743.693613,5,"Major","A#",115,71,73,11
267.789608,12,"Major","F#",130,74,87,30
1221.813483,3,"Major","",118,65,79,10
449.701773,4,"Major","G",110,59,38,12
67.07041,3,"Major","A",100,72,66,19
116.334601,3,"Minor","G",142,70,79,11
433.356509,10,"Major","",140,64,37,12
165.584767,2,"Major","G",116,90,73,9
367.814306,5,"Major","A",120,73,85,61
477.033549,4,"Minor","F",92,76,79,7
156.2147,10,"Minor","G#",110,81,79,31
448.843705,1,"Major","A#",120,71,97,13
1357.608774,7,"Major","G#",80,63,61,56
294.352144,11,"Minor","F",115,95,69,9
972.164968,11,"Major","A#",76,58,67,13
920.045682,2,"Major","F#",172,60,78,12
2420.461338,9,"Major","A#",99,40,56,9
1947.371785,5,"Minor","",136,36,57,14
244.658767,5,"Minor","G#",150,90,14,11
68.216992,4,"Minor","A#",92,71,31,10
223.582566,12,"Major","C#",95,77,87,7
471.819764,7,"Minor","B",102,83,83,10
272.377463,12,"Minor","",145,70,55,16
1361.425037,3,"Major","A",110,50,86,64
149.778242,2,"Major","",95,64,77,38
116.59979,3,"Minor","B",94,68,82,9
148.469433,12,"Major","G",142,61,91,26
497.225336,8,"Minor","F#",145,59,74,15
88.791109,3,"Minor","F#",121,64,80,36
125.91728,3,"Minor","D#",140,66,76,12
105.062254,2,"Minor","C#",137,84,67,11
95.623148,1,"Major","G#",104,56,85,15
144.5848,2,"Major","F",92,57,76,33
298.063749,12,"Minor","D",146,74,45,21
166.570053,1,"Major","D",120,56,43,12
83.021468,1,"Major","D",144,68,81,8
139.836056,11,"Major","A",94,59,56,6
303.216294,10,"Major","G#",94,73,79,11
221.409663,12,"Minor","G",113,79,74,11
58.890931,3,"Major","E",148,50,76,12
81.419389,3,"Major","C#",98,70,73,11
156.777415,5,"Major","B",140,58,38,10
284.908316,12,"Major","G",100,36,28,18
93.43891,2,"Major","F#",140,86,79,11
363.472647,8,"Minor","E",100,59,94,29
372.476382,1,"Minor","A",100,59,65,13
380.726517,10,"Minor","",132,87,70,21
56.533272,3,"Major","D",142,49,67,26
175.399345,1,"Minor","E",176,72,63,21
203.221468,5,"Major","F#",140,53,70,14
1624.165576,10,"Minor","D#",105,55,90,32
134.294498,12,"Major","F",135,81,77,35
70.069745,7,"Minor","E",128,82,59,12
609.293408,6,"Major","F",101,74,69,12
671.365962,5,"Major","A#",122,88,50,14
362.361576,9,"Minor","",105,76,56,10
93.587665,12,"Major","C#",83,53,36,11
1223.481149,9,"Minor","B",77,72,76,42
1022.25823,8,"Minor","B",140,75,25,11
263.45331,11,"Major","C#",158,65,95,92
1435.127549,6,"Major","G",176,75,65,11
236.857112,10,"Major","B",98,73,57,5
147.538971,1,"Minor","B",107,66,40,11
698.08614,2,"Minor","F",109,66,57,12
723.894473,7,"Minor","A#",109,84,74,34
34.450974,3,"Major","",148,53,81,36
403.09745,5,"Minor","F#",158,60,76,19
309.483971,9,"Minor","F",94,74,73,10
319.566866,10,"Minor","F#",96,70,51,10
909.001996,5,"Minor","F",100,80,67,12
1061.966512,9,"Major","A",105,58,68,14
32.526947,3,"Major","",125,53,66,9
124.988687,1,"Minor","F#",170,56,63,19
103.787664,1,"Major","",115,70,90,41
134.25579,1,"Major","G#",122,64,89,15
301.051721,10,"Minor","A#",105,88,80,11
156.338624,11,"Major","F",133,66,84,21
152.850295,1,"Major","",100,79,68,26
309.653982,10,"Minor","D#",120,82,45,9
297.32896,10,"Major","A",177,25,30,13
332.506354,9,"Minor","D",142,64,72,9
480.507035,11,"Minor","E",144,57,84,52
1065.580332,4,"Minor","B",120,65,86,19
122.763672,9,"Major","D",135,92,51,15
445.763624,2,"Major","B",107,81,78,12
1.365184,12,"Major","G",105,82,74,33
184.308753,11,"Minor","F#",108,44,77,9
789.753877,1,"Minor","",147,51,79,14
323.358833,11,"Major","",115,71,88,44
606.361689,4,"Major","F",174,70,64,8
120.972253,1,"Minor","A#",90,68,71,31
338.564981,7,"Minor","E",141,41,25,14
1606.986953,1,"Major","F",82,68,49,8
1301.799902,3,"Major","F",92,47,43,32
140.187018,12,"Minor","G#",116,77,80,15
1897.517891,6,"Minor","A",124,79,86,8
107.642809,1,"Minor","A#",125,71,89,17
551.305895,8,"Major","",90,80,69,27
556.58527,4,"Major","C#",83,46,64,7
2303.033973,10,"Minor","B",124,79,79,10
646.886885,8,"Major","G#",140,58,60,8
222.612678,9,"Major","",154,64,91,72
1814.349763,7,"Minor","D#",150,74,70,5
872.137015,1,"Minor","E",186,41,61,12
571.386359,4,"Minor","G#",166,40,48,12
304.079786,9,"Major","",107,87,83,31
174.006928,9,"Major","G",87,87,52,28
284.785823,8,"Major","G#",82,40,64,7
163.284,12,"Minor","A",114,46,28,21
246.390068,11,"Major","G#",148,47,52,29
482.257456,7,"Major","F#",140,91,57,40
168.684524,10,"Major","G",101,90,81,33
78.489819,1,"Minor","C#",140,81,84,6
195.516622,12,"Minor","G",88,49,66,18
1260.594497,6,"Major","C#",180,64,65,14
428.68568,8,"Major","D",133,95,89,31
1024.858327,9,"Minor","A#",108,63,55,6
838.586769,1,"Minor","F",80,39,43,23
199.386237,8,"Minor","B",75,80,62,11
972.509632,7,"Minor","F#",121,67,64,17
213.43858,9,"Minor","D",140,58,62,20
1555.511105,9,"Minor","B",126,81,90,36
210.038833,10,"Major","C#",102,58,94,9
227.918678,4,"Major","A",82,70,34,11
826.623384,12,"Minor","C#",121,46,78,72
1802.514301,3,"Minor","F#",103,70,83,7
1329.090101,6,"Minor","F",108,82,76,12
181.831132,9,"Minor","F",85,65,47,12
